# time Uy_probe0 Uy_probe1
0.001 -0.000604391 0.000604391
0.002 -0.000511845 0.000511845
0.003 -0.000511121 0.000511121
0.004 -0.000510433 0.000510433
0.005 -0.000509867 0.000509867
0.006 -0.000509401 0.000509401
0.007 -0.000509029 0.000509029
0.008 -0.000508745 0.000508745
0.009 -0.000508544 0.000508544
0.01 -0.000508422 0.000508422
0.011 -0.00050837 0.00050837
0.012 -0.000508384 0.000508384
0.013 -0.000508459 0.000508459
0.014 -0.000508593 0.000508593
0.015 -0.00050879 0.00050879
0.016 -0.00050905 0.00050905
0.017 -0.000509374 0.000509374
0.018 -0.000509746 0.000509746
0.019 -0.000510159 0.000510159
0.02 -0.000510613 0.000510613
0.021 -0.000511104 0.000511105
0.022 -0.000511632 0.000511632
0.023 -0.000512192 0.000512192
0.024 -0.000512782 0.000512782
0.025 -0.0005134 0.0005134
0.026 -0.000514044 0.000514044
0.027 -0.000514713 0.000514713
0.028 -0.000515405 0.000515405
0.029 -0.000516119 0.000516119
0.03 -0.000516854 0.000516854
0.031 -0.000517607 0.000517608
0.032 -0.000518379 0.000518379
0.033 -0.000519167 0.000519167
0.034 -0.000519971 0.000519971
0.035 -0.000520791 0.000520791
0.036 -0.000521624 0.000521624
0.037 -0.00052247 0.00052247
0.038 -0.000523327 0.000523327
0.039 -0.000524195 0.000524195
0.04 -0.000525078 0.000525078
0.041 -0.000525972 0.000525972
0.042 -0.000526876 0.000526876
0.043 -0.000527789 0.000527789
0.044 -0.000528711 0.000528711
0.045 -0.00052964 0.000529641
0.046 -0.000530578 0.000530578
0.047 -0.000531523 0.000531523
0.048 -0.000532475 0.000532475
0.049 -0.000533434 0.000533434
0.05 -0.000534398 0.000534398
0.051 -0.000535369 0.000535369
0.052 -0.000536344 0.000536344
0.053 -0.000537326 0.000537326
0.054 -0.000538311 0.000538312
0.055 -0.000539302 0.000539302
0.056 -0.000540297 0.000540297
0.057 -0.000541297 0.000541297
0.058 -0.0005423 0.0005423
0.059 -0.000543307 0.000543307
0.06 -0.000544317 0.000544317
0.061 -0.000545331 0.000545331
0.062 -0.000546348 0.000546348
0.063 -0.000547368 0.000547368
0.064 -0.000548391 0.000548391
0.065 -0.000549416 0.000549416
0.066 -0.000550445 0.000550445
0.067 -0.000551475 0.000551475
0.068 -0.000552508 0.000552508
0.069 -0.000553543 0.000553543
0.07 -0.00055458 0.00055458
0.071 -0.000555619 0.000555619
0.072 -0.00055666 0.00055666
0.073 -0.000557702 0.000557702
0.074 -0.000558746 0.000558746
0.075 -0.000559792 0.000559792
0.076 -0.000560839 0.000560839
0.077 -0.000561888 0.000561888
0.078 -0.000562938 0.000562938
0.079 -0.000563989 0.000563989
0.08 -0.000565042 0.000565042
0.081 -0.000566096 0.000566096
0.082 -0.00056715 0.00056715
0.083 -0.000568206 0.000568206
0.084 -0.000569263 0.000569263
0.085 -0.00057032 0.00057032
0.086 -0.000571379 0.000571379
0.087 -0.000572438 0.000572438
0.088 -0.000573499 0.000573499
0.089 -0.000574559 0.000574559
0.09 -0.000575621 0.000575621
0.091 -0.000576683 0.000576683
0.092 -0.000577746 0.000577746
0.093 -0.00057881 0.00057881
0.094 -0.000579874 0.000579874
0.095 -0.000580939 0.000580939
0.096 -0.000582004 0.000582004
0.097 -0.00058307 0.00058307
0.098 -0.000584136 0.000584136
