# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 1.000000e-01
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0.005         	-5.180031e-10	3.544225e+02	4.287433e-06	2.143199e-06	2.144235e-06
0.01          	-1.178917e-07	1.660083e+01	-3.788920e-06	-2.012352e-06	-1.776568e-06
0.015         	-8.129156e-08	1.876095e+01	1.312062e-06	5.747392e-07	7.373223e-07
0.02          	-9.387596e-08	1.515861e+01	5.368271e-07	1.745376e-07	3.622895e-07
0.025         	-5.866462e-08	1.311724e+01	2.694503e-07	7.606055e-08	1.933898e-07
0.03          	-3.444559e-08	1.165432e+01	7.547991e-07	3.429540e-07	4.118452e-07
0.035         	-1.813072e-08	1.057592e+01	6.716161e-07	3.176774e-07	3.539388e-07
0.04          	-7.223869e-09	9.752627e+00	6.189427e-07	3.022475e-07	3.166952e-07
0.045         	-5.680373e-11	9.104773e+00	6.036762e-07	3.017813e-07	3.018949e-07
0.05          	4.510034e-09	8.580967e+00	5.860485e-07	2.975343e-07	2.885142e-07
0.055         	7.253571e-09	8.147416e+00	5.689774e-07	2.917423e-07	2.772351e-07
0.06          	8.709754e-09	7.781352e+00	5.488609e-07	2.831402e-07	2.657207e-07
0.065         	9.263707e-09	7.467053e+00	5.406009e-07	2.795642e-07	2.610368e-07
0.07          	9.201262e-09	7.193353e+00	5.253304e-07	2.718665e-07	2.534639e-07
0.075         	8.712352e-09	6.952193e+00	4.993534e-07	2.583890e-07	2.409643e-07
0.08          	7.935127e-09	6.737558e+00	4.913492e-07	2.536097e-07	2.377395e-07
0.085         	6.972116e-09	6.544964e+00	4.814963e-07	2.477203e-07	2.337760e-07
0.09          	5.719529e-08	6.370808e+00	5.248836e-07	3.196371e-07	2.052465e-07
0.095         	9.010763e-08	6.212373e+00	5.838567e-07	3.820360e-07	2.018207e-07
0.1           	1.115129e-07	6.067419e+00	6.479234e-07	4.354746e-07	2.124488e-07
0.105         	1.251259e-07	5.934195e+00	6.914141e-07	4.708329e-07	2.205811e-07
0.11          	1.333811e-07	5.811225e+00	7.023346e-07	4.845484e-07	2.177862e-07
0.115         	1.379115e-07	5.697237e+00	7.257988e-07	5.008109e-07	2.249879e-07
0.12          	1.398142e-07	5.591227e+00	7.396218e-07	5.096251e-07	2.299967e-07
0.125         	2.552325e-07	5.492328e+00	6.857778e-07	5.981214e-07	8.765640e-08
0.13          	3.349969e-07	5.399826e+00	7.476357e-07	7.088147e-07	3.882095e-08
0.135         	3.900636e-07	5.313095e+00	8.159645e-07	7.980458e-07	1.791871e-08
0.14          	4.276673e-07	5.231532e+00	8.606545e-07	8.579946e-07	2.659912e-09
0.145         	4.526786e-07	5.154676e+00	8.635868e-07	8.844719e-07	-2.088518e-08
0.15          	4.684781e-07	5.082118e+00	8.068329e-07	8.718945e-07	-6.506166e-08
0.155         	4.774631e-07	5.013482e+00	8.719897e-07	9.134579e-07	-4.146821e-08
0.16          	4.813560e-07	4.948458e+00	8.314414e-07	8.970767e-07	-6.563532e-08
0.165         	4.814416e-07	4.886743e+00	8.696782e-07	9.162807e-07	-4.660248e-08
0.17          	4.786536e-07	4.828096e+00	8.765851e-07	9.169461e-07	-4.036103e-08
0.175         	4.737075e-07	4.772251e+00	8.631827e-07	9.052989e-07	-4.211619e-08
0.18          	4.671472e-07	4.719027e+00	8.750853e-07	9.046898e-07	-2.960456e-08
0.185         	4.593886e-07	4.668234e+00	8.799966e-07	8.993869e-07	-1.939034e-08
0.19          	4.507564e-07	4.619695e+00	8.742320e-07	8.878724e-07	-1.364046e-08
0.195         	4.415022e-07	4.573278e+00	8.747796e-07	8.788921e-07	-4.112422e-09
0.2           	4.318270e-07	4.528833e+00	8.682829e-07	8.659684e-07	2.314479e-09
0.205         	4.218828e-07	4.486231e+00	8.499455e-07	8.468556e-07	3.089895e-09
0.21          	4.117872e-07	4.445358e+00	8.512163e-07	8.373954e-07	1.382097e-08
0.215         	4.016363e-07	4.406103e+00	8.392169e-07	8.212448e-07	1.797212e-08
