# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous porous)	moments(pressure viscous porous)
0.005         	((1.685400e+01 2.125088e-07 1.695705e-19) (8.671281e-01 1.862807e-09 2.420883e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.084877e-20 -6.108206e-19 -2.718041e-15) (2.305369e-19 6.376300e-20 -2.589744e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.01          	((2.272986e-01 -1.878023e-07 -7.874632e-21) (6.027428e-01 -1.643752e-09 5.675640e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.557455e-22 -8.362588e-21 -7.979294e-15) (4.393630e-21 -2.407573e-20 -5.894576e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.015         	((4.726438e-01 6.746622e-08 -2.222125e-22) (4.654035e-01 -1.863142e-09 1.992469e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.557547e-21 -1.680728e-20 1.391637e-15) (7.377057e-21 -1.695136e-20 -4.064580e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.02          	((3.762732e-01 2.787397e-08 -1.439239e-21) (3.816573e-01 -1.032613e-09 1.698365e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((7.356945e-22 -1.327209e-20 -7.861364e-16) (5.951149e-21 -1.405265e-20 -4.693797e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.025         	((3.290179e-01 1.373576e-08 -2.089183e-21) (3.268438e-01 -2.632460e-10 1.516102e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((4.436962e-22 -1.158187e-20 -7.361631e-16) (5.205753e-21 -1.203793e-20 -2.933230e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.03          	((2.935447e-01 3.723966e-08 -2.540912e-21) (2.891712e-01 5.002927e-10 1.397642e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.660492e-22 -1.031415e-20 -9.706837e-16) (4.649769e-21 -1.066030e-20 -1.722278e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.035         	((2.667867e-01 3.257138e-08 -2.841089e-21) (2.620095e-01 1.009431e-09 1.323246e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.492311e-22 -9.355478e-21 -6.747880e-16) (4.231370e-21 -9.668138e-21 -9.065354e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.04          	((2.460813e-01 2.959396e-08 -3.045594e-21) (2.415500e-01 1.353175e-09 1.275538e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((6.660077e-23 -8.611714e-21 -6.458872e-16) (3.908089e-21 -8.920711e-21 -3.611928e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.045         	((2.296994e-01 2.855846e-08 -3.187927e-21) (2.255392e-01 1.625346e-09 1.244020e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((5.968795e-24 -8.022217e-21 -5.797974e-16) (3.652330e-21 -8.334873e-21 -2.839607e-12) (0.000000e+00 0.000000e+00 0.000000e+00))
0.05          	((2.164475e-01 2.746534e-08 -3.291592e-21) (2.126009e-01 1.837088e-09 1.222813e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.041842e-23 -7.544843e-21 -4.605348e-16) (3.445232e-21 -7.860361e-21 2.255022e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
