s ur utheta
4.813275859536826629e-02 5.954963397372817560e-03 -9.291248754502809404e-03
8.297473813155423206e-02 1.802480239068379037e-02 -2.740369703071466809e-02
1.203170472460157459e-01 3.600538232327217536e-02 -5.279888553374020160e-02
1.603392910611743105e-01 6.004029536919351651e-02 -8.441596317296864993e-02
2.032338026215126658e-01 9.021777431260429025e-02 -1.212637218046683507e-01
2.492070571071371976e-01 1.265543654521842365e-01 -1.623906785440746570e-01
2.984796718337782151e-01 1.690808279329149844e-01 -2.068326932950397823e-01
3.512892346799143528e-01 2.175447246339129448e-01 -2.535948668164341724e-01
4.078903040867727925e-01 2.719897547542554084e-01 -3.010368527972613339e-01
4.685515806312042786e-01 3.388548538566305557e-01 -3.468336629277763983e-01
4.999343937938257598e-01 3.649314458093465552e-01 -4.052718876760389999e-01
5.323821097689139803e-01 4.238255917969147579e-01 -4.642651700343295440e-01
5.845368917356713601e-01 4.941117937148232775e-01 -5.194098116039780333e-01
6.184200344765682367e-01 4.864300684867250424e-01 -5.274634749989802751e-01
6.679811487699333084e-01 5.515765233442229132e-01 -5.791522735969357738e-01
7.082678505212558484e-01 6.150322929589714382e-01 -6.274745297385941889e-01
7.452184224789401013e-01 5.979908710399516325e-01 -6.253434583925220336e-01
8.020938493168987549e-01 6.580168828521651969e-01 -6.702987619559503951e-01
8.406806663662487189e-01 6.388949477219280082e-01 -6.653946228750311498e-01
8.947347371472730293e-01 6.953544684933284925e-01 -7.068877760742784400e-01
9.403671661643657753e-01 7.483911469665138760e-01 -7.441839888976743422e-01
9.824541617805890859e-01 7.294378568035896349e-01 -7.405240041982528165e-01
1.044467426490649276e+00 7.780285518925899035e-01 -7.739294114556445336e-01
1.088407041873581393e+00 7.598564238040459440e-01 -7.708459097017209549e-01
1.152951748860289394e+00 8.037769614460216205e-01 -8.002947716756614316e-01
1.199069253129276147e+00 8.423495090805270813e-01 -8.247961489229959087e-01
1.246982808622476568e+00 8.254791999314866624e-01 -8.230412654555827601e-01
1.314624643310781549e+00 8.590542703899562982e-01 -8.436164323003789711e-01
1.364659519147541689e+00 8.432732854002844558e-01 -8.422430067784650864e-01
1.435299486588077711e+00 8.719721071906052501e-01 -8.590535774253106327e-01
1.487554677717763729e+00 8.573536071634177969e-01 -8.580308754526516646e-01
1.553853009521814155e+00 8.813993608634013155e-01 -8.713062176636938716e-01
1.615880416367498240e+00 8.998925861412823135e-01 -8.802911619027222745e-01
1.672859080795510378e+00 8.877039178533928654e-01 -8.806428626735489651e-01
1.749891293537972681e+00 9.022600503553730444e-01 -8.868049588603347244e-01
1.809401400242632851e+00 8.912751889360467361e-01 -8.873529241893473030e-01
1.889827725534790837e+00 9.023634152246469142e-01 -8.910715138987936879e-01
1.951968269465464090e+00 8.925301761934322231e-01 -8.917547911814541761e-01
2.030584401397784511e+00 9.006603626842947241e-01 -8.934392468134612075e-01
2.100870815447727580e+00 9.052215549763382718e-01 -8.927671418179433660e-01
2.168625787221022172e+00 8.975614601446767482e-01 -8.942188391107872558e-01
2.256349454495025331e+00 9.002216241397718033e-01 -8.923364925749973642e-01
