# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous porous)	moments(pressure viscous porous)
0.005         	((1.612453e+01 -1.160081e-07 2.200353e-22) (3.244759e-01 -4.433385e-10 2.988702e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.336780e-18 -7.539546e-19 -6.725289e-15) (-1.029063e-19 -4.211380e-21 1.091863e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.01          	((-4.535058e-02 1.494032e-07 3.256567e-22) (2.448723e-01 2.337058e-09 3.333480e-24) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.505557e-21 2.930914e-21 7.521007e-15) (6.696948e-22 -7.633213e-21 -1.315486e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.015         	((2.043278e-01 -3.303983e-08 4.162282e-22) (1.957991e-01 -3.703986e-11 1.108053e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.733179e-20 -9.284179e-21 1.557640e-16) (-8.768991e-22 -5.796601e-21 -1.485972e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.02          	((1.715492e-01 -6.182402e-09 3.497756e-22) (1.637180e-01 -5.161309e-10 1.061745e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.444938e-20 -7.856245e-21 1.872896e-15) (-6.429687e-22 -4.750948e-21 -6.008964e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.025         	((1.528764e-01 7.085028e-10 3.147575e-22) (1.409659e-01 -4.867738e-10 1.063529e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.282726e-20 -7.029806e-21 3.844814e-15) (-5.455617e-22 -4.032877e-21 -1.010717e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.03          	((1.364094e-01 1.341506e-08 2.898418e-22) (1.242822e-01 -2.368167e-10 1.047523e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.140807e-20 -6.293484e-21 5.164150e-15) (-4.570852e-22 -3.518553e-21 -1.326753e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.035         	((1.229887e-01 2.155342e-08 2.712360e-22) (1.117316e-01 8.819013e-11 1.020684e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.025458e-20 -5.691489e-21 5.887609e-15) (-3.837691e-22 -3.139276e-21 -1.553549e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.04          	((1.121352e-01 2.011445e-08 2.569634e-22) (1.020567e-01 3.964797e-10 9.875845e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.322514e-21 -5.204141e-21 5.915475e-15) (-3.235717e-22 -2.851918e-21 -1.708545e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.045         	((1.033163e-01 2.103485e-08 2.457688e-22) (9.442237e-02 6.868811e-10 9.511237e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((8.565399e-21 -4.808169e-21 5.845914e-15) (-2.741031e-22 -2.628521e-21 -1.808343e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.05          	((9.608277e-02 1.455109e-08 2.368205e-22) (8.826382e-02 9.268757e-10 9.131383e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((7.944129e-21 -4.483545e-21 5.653375e-15) (-2.332167e-22 -2.450560e-21 -1.867148e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
