s ur utheta
2.625999999999995005e-02 1.899759999999999990e-02 -2.564020000000000188e-01
4.452800000000001202e-02 4.964980000000000088e-02 -4.348420000000000063e-01
6.347499999999994813e-02 8.852619999999999933e-02 -6.125990000000000046e-01
8.312600000000003320e-02 1.316579999999999973e-01 -7.815630000000000077e-01
1.035070000000000157e-01 1.748599999999999877e-01 -9.336360000000000214e-01
1.246460000000000345e-01 2.142890000000000073e-01 -1.062419999999999920e+00
1.465689999999999493e-01 2.471490000000000076e-01 -1.164349999999999996e+00
1.693080000000000140e-01 2.719500000000000250e-01 -1.239079999999999959e+00
1.928910000000000347e-01 2.884729999999999794e-01 -1.288990000000000080e+00
2.173500000000000432e-01 2.974870000000000014e-01 -1.318270000000000053e+00
2.427179999999999893e-01 3.003390000000000226e-01 -1.331820000000000004e+00
2.690289999999999626e-01 2.985689999999999733e-01 -1.334389999999999965e+00
2.963170000000000526e-01 2.936130000000000129e-01 -1.329970000000000097e+00
3.246189999999999909e-01 2.866469999999999851e-01 -1.321600000000000108e+00
3.539729999999999821e-01 2.785369999999999790e-01 -1.311350000000000016e+00
3.844180000000000375e-01 2.698650000000000215e-01 -1.300489999999999924e+00
4.159929999999999461e-01 2.609929999999999750e-01 -1.289679999999999938e+00
4.487419999999999742e-01 2.520240000000000258e-01 -1.279160000000000075e+00
4.827069999999999972e-01 2.434459999999999957e-01 -1.268850000000000033e+00
5.268800000000000150e-01 2.318359999999999865e-01 -1.255549999999999944e+00
5.812900000000000844e-01 2.184719999999999995e-01 -1.239400000000000057e+00
6.370000000000000107e-01 2.057049999999999990e-01 -1.225300000000000056e+00
6.940200000000000813e-01 1.940840000000000065e-01 -1.213039999999999896e+00
7.524100000000000232e-01 1.832390000000000130e-01 -1.202229999999999910e+00
8.121799999999999020e-01 1.731779999999999986e-01 -1.192420000000000035e+00
8.733699999999999797e-01 1.637329999999999897e-01 -1.183410000000000073e+00
9.360200000000000742e-01 1.548769999999999869e-01 -1.175070000000000059e+00
1.000150000000000095e+00 1.465500000000000136e-01 -1.167300000000000004e+00
1.065809999999999924e+00 1.387059999999999960e-01 -1.160020000000000051e+00
1.133029999999999982e+00 1.312989999999999990e-01 -1.153159999999999963e+00
1.201850000000000085e+00 1.243039999999999978e-01 -1.146679999999999922e+00
1.272310000000000052e+00 1.176750000000000018e-01 -1.140519999999999978e+00
1.344440000000000079e+00 1.113890000000000019e-01 -1.134660000000000002e+00
1.418290000000000051e+00 1.054230000000000028e-01 -1.129050000000000109e+00
