# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 1.000000e-01
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0.005         	5.059198e-10	3.341656e+02	-1.129968e-06	-5.644781e-07	-5.654899e-07
0.01          	-9.673665e-08	1.649827e+00	1.377946e-06	5.922364e-07	7.857097e-07
0.015         	6.947288e-08	8.273248e+00	-3.428770e-07	-1.019656e-07	-2.409114e-07
0.02          	1.423068e-07	6.462108e+00	1.710390e-07	2.278263e-07	-5.678729e-08
0.025         	1.786773e-07	5.609553e+00	4.931825e-07	4.252685e-07	6.791399e-08
0.03          	1.874147e-07	4.954502e+00	8.090213e-07	5.919253e-07	2.170959e-07
0.035         	3.656027e-07	4.459884e+00	1.147673e-06	9.394393e-07	2.082338e-07
0.04          	4.408358e-07	4.077813e+00	1.342894e-06	1.112283e-06	2.306110e-07
0.045         	4.562281e-07	3.776440e+00	1.539863e-06	1.226160e-06	3.137034e-07
0.05          	4.378240e-07	3.533652e+00	1.680902e-06	1.278275e-06	4.026270e-07
0.055         	4.013472e-07	3.334187e+00	1.792254e-06	1.297474e-06	4.947799e-07
0.06          	3.562351e-07	3.167402e+00	1.847328e-06	1.279899e-06	5.674289e-07
0.065         	3.081006e-07	3.025752e+00	1.887164e-06	1.251683e-06	6.354816e-07
0.07          	2.602154e-07	2.903797e+00	1.910491e-06	1.215461e-06	6.950300e-07
0.075         	2.144112e-07	2.797534e+00	1.922188e-06	1.175505e-06	7.466830e-07
0.08          	1.716449e-07	2.703974e+00	1.928006e-06	1.135648e-06	7.923579e-07
0.085         	1.323432e-07	2.620843e+00	1.928980e-06	1.096833e-06	8.321467e-07
0.09          	9.661426e-08	2.546382e+00	1.922645e-06	1.057937e-06	8.647082e-07
0.095         	6.438045e-08	2.479224e+00	1.915046e-06	1.021903e-06	8.931425e-07
0.1           	3.546076e-08	2.418271e+00	1.903446e-06	9.871839e-07	9.162624e-07
0.105         	9.622620e-09	2.362654e+00	1.892952e-06	9.560987e-07	9.368534e-07
0.11          	-1.338747e-08	2.311656e+00	1.879794e-06	9.265097e-07	9.532846e-07
0.115         	1.707203e-07	2.264680e+00	2.226967e-06	1.284204e-06	9.427633e-07
0.12          	2.827163e-07	2.221284e+00	2.335979e-06	1.450706e-06	8.852732e-07
0.125         	3.492861e-07	2.181049e+00	2.416412e-06	1.557492e-06	8.589200e-07
0.13          	3.867288e-07	2.143615e+00	2.475983e-06	1.624720e-06	8.512625e-07
0.135         	4.520299e-07	2.108699e+00	2.741748e-06	1.822904e-06	9.188443e-07
0.14          	4.921264e-07	2.076059e+00	2.835621e-06	1.909937e-06	9.256843e-07
0.145         	5.148558e-07	2.045479e+00	2.939727e-06	1.984719e-06	9.550076e-07
0.15          	5.254515e-07	2.016768e+00	2.986571e-06	2.018737e-06	9.678338e-07
0.155         	5.274900e-07	1.989764e+00	3.037425e-06	2.046202e-06	9.912225e-07
0.16          	5.234643e-07	1.964323e+00	3.096041e-06	2.071485e-06	1.024556e-06
0.165         	5.151408e-07	1.940318e+00	3.153673e-06	2.091977e-06	1.061696e-06
0.17          	5.037968e-07	1.917635e+00	3.187634e-06	2.097614e-06	1.090020e-06
0.175         	4.903644e-07	1.896179e+00	3.222333e-06	2.101531e-06	1.120802e-06
0.18          	4.755305e-07	1.875853e+00	3.266049e-06	2.108555e-06	1.157494e-06
0.185         	4.598075e-07	1.856581e+00	3.284668e-06	2.102142e-06	1.182526e-06
0.19          	4.435758e-07	1.838292e+00	3.320533e-06	2.103842e-06	1.216691e-06
0.195         	4.271210e-07	1.820912e+00	3.334708e-06	2.094475e-06	1.240233e-06
0.2           	4.106561e-07	1.804387e+00	3.361384e-06	2.091348e-06	1.270036e-06
0.205         	3.943384e-07	1.788666e+00	3.385523e-06	2.087100e-06	1.298423e-06
0.21          	3.782836e-07	1.773692e+00	3.391921e-06	2.074244e-06	1.317677e-06
0.215         	3.625777e-07	1.759420e+00	3.414381e-06	2.069768e-06	1.344613e-06
0.22          	3.472802e-07	1.745819e+00	3.429464e-06	2.062012e-06	1.367452e-06
0.225         	3.324307e-07	1.732836e+00	3.443147e-06	2.054004e-06	1.389143e-06
0.23          	3.180571e-07	1.720444e+00	3.455855e-06	2.045985e-06	1.409871e-06
0.235         	3.041752e-07	1.708608e+00	3.465636e-06	2.036993e-06	1.428643e-06
0.24          	2.907921e-07	1.697302e+00	3.494724e-06	2.038154e-06	1.456570e-06
0.245         	2.779059e-07	1.686492e+00	3.507614e-06	2.031713e-06	1.475901e-06
0.25          	2.655134e-07	1.676154e+00	3.526087e-06	2.028557e-06	1.497530e-06
0.255         	2.536065e-07	1.666267e+00	3.514515e-06	2.010864e-06	1.503651e-06
0.26          	2.421733e-07	1.656808e+00	3.503871e-06	1.994109e-06	1.509762e-06
0.265         	2.312007e-07	1.647750e+00	3.475773e-06	1.969087e-06	1.506686e-06
0.27          	2.206746e-07	1.639081e+00	3.454696e-06	1.948023e-06	1.506674e-06
0.275         	2.105797e-07	1.630778e+00	3.430461e-06	1.925810e-06	1.504651e-06
0.28          	2.009005e-07	1.622830e+00	3.437318e-06	1.919560e-06	1.517759e-06
0.285         	1.916200e-07	1.615210e+00	3.442222e-06	1.912731e-06	1.529491e-06
0.29          	1.827228e-07	1.607913e+00	3.468749e-06	1.917097e-06	1.551652e-06
0.295         	1.741922e-07	1.600921e+00	3.531010e-06	1.939697e-06	1.591313e-06
0.3           	1.660118e-07	1.594221e+00	3.416261e-06	1.874142e-06	1.542119e-06
0.305         	1.581676e-07	1.587802e+00	3.459013e-06	1.887674e-06	1.571339e-06
0.31          	1.506446e-07	1.581645e+00	3.525156e-06	1.913223e-06	1.611934e-06
0.315         	1.434267e-07	1.575748e+00	3.411967e-06	1.849410e-06	1.562557e-06
0.32          	1.365029e-07	1.570095e+00	3.457844e-06	1.865425e-06	1.592419e-06
0.325         	1.298579e-07	1.564680e+00	3.464796e-06	1.862256e-06	1.602540e-06
0.33          	1.234783e-07	1.559492e+00	3.480094e-06	1.863525e-06	1.616569e-06
0.335         	1.173521e-07	1.554520e+00	3.477257e-06	1.855981e-06	1.621277e-06
0.34          	1.114670e-07	1.549754e+00	3.486387e-06	1.854661e-06	1.631727e-06
0.345         	1.058131e-07	1.545192e+00	3.494530e-06	1.853078e-06	1.641452e-06
0.35          	1.003787e-07	1.540819e+00	3.496024e-06	1.848390e-06	1.647633e-06
0.355         	9.515351e-08	1.536634e+00	3.512343e-06	1.851325e-06	1.661018e-06
0.36          	9.012878e-08	1.532631e+00	3.498372e-06	1.839315e-06	1.659057e-06
0.365         	8.529438e-08	1.528795e+00	3.509576e-06	1.840082e-06	1.669494e-06
0.37          	1.905242e-07	1.525081e+00	3.659684e-06	2.020366e-06	1.639318e-06
0.375         	2.701336e-07	1.521576e+00	3.790146e-06	2.165207e-06	1.624939e-06
0.38          	3.324520e-07	1.518225e+00	3.888895e-06	2.276899e-06	1.611995e-06
0.385         	3.825507e-07	1.515018e+00	3.975888e-06	2.370495e-06	1.605393e-06
0.39          	4.236117e-07	1.511957e+00	4.067598e-06	2.457411e-06	1.610187e-06
0.395         	4.577108e-07	1.509035e+00	4.148132e-06	2.531777e-06	1.616355e-06
0.4           	4.862582e-07	1.506243e+00	4.221736e-06	2.597126e-06	1.624610e-06
0.405         	5.102588e-07	1.503578e+00	4.296067e-06	2.658293e-06	1.637775e-06
0.41          	5.304482e-07	1.501040e+00	4.366971e-06	2.713934e-06	1.653037e-06
0.415         	5.473972e-07	1.498619e+00	4.448869e-06	2.771832e-06	1.677037e-06
0.42          	5.615524e-07	1.496316e+00	4.496715e-06	2.809910e-06	1.686805e-06
0.425         	5.732802e-07	1.494122e+00	4.554106e-06	2.850333e-06	1.703773e-06
0.43          	5.828844e-07	1.492038e+00	4.613876e-06	2.889822e-06	1.724054e-06
0.435         	5.906203e-07	1.490060e+00	4.742861e-06	2.962051e-06	1.780810e-06
0.44          	5.967038e-07	1.488179e+00	4.707989e-06	2.950698e-06	1.757291e-06
0.445         	6.013272e-07	1.486395e+00	4.780877e-06	2.991766e-06	1.789111e-06
0.45          	6.046564e-07	1.484707e+00	4.839345e-06	3.024329e-06	1.815016e-06
0.455         	6.068367e-07	1.483109e+00	4.884342e-06	3.049008e-06	1.835334e-06
0.46          	6.079924e-07	1.481600e+00	4.941035e-06	3.078510e-06	1.862525e-06
0.465         	6.082395e-07	1.480176e+00	4.982849e-06	3.099664e-06	1.883185e-06
0.47          	6.076762e-07	1.478834e+00	5.024193e-06	3.119773e-06	1.904420e-06
0.475         	6.063928e-07	1.477572e+00	5.066881e-06	3.139833e-06	1.927048e-06
0.48          	6.044689e-07	1.476392e+00	5.109114e-06	3.159026e-06	1.950088e-06
0.485         	6.019745e-07	1.475280e+00	5.150479e-06	3.177214e-06	1.973265e-06
0.49          	5.989753e-07	1.474243e+00	5.187988e-06	3.192969e-06	1.995019e-06
0.495         	5.955284e-07	1.473274e+00	5.216852e-06	3.203954e-06	2.012898e-06
0.5           	5.916855e-07	1.472374e+00	5.268905e-06	3.226138e-06	2.042767e-06
0.505         	5.874922e-07	1.471539e+00	5.298460e-06	3.236722e-06	2.061738e-06
0.51          	5.829916e-07	1.470767e+00	5.335898e-06	3.250941e-06	2.084958e-06
0.515         	5.782207e-07	1.470058e+00	5.274074e-06	3.215258e-06	2.058817e-06
0.52          	5.732159e-07	1.469408e+00	5.371015e-06	3.258723e-06	2.112291e-06
0.525         	5.680072e-07	1.468814e+00	5.488873e-06	3.312444e-06	2.176429e-06
0.53          	5.626221e-07	1.468276e+00	5.453500e-06	3.289372e-06	2.164128e-06
0.535         	5.570870e-07	1.467797e+00	5.493716e-06	3.303945e-06	2.189771e-06
0.54          	5.514212e-07	1.467366e+00	5.519228e-06	3.311035e-06	2.208193e-06
0.545         	5.456482e-07	1.466982e+00	5.545109e-06	3.318203e-06	2.226906e-06
0.55          	5.397867e-07	1.466650e+00	5.581794e-06	3.330684e-06	2.251110e-06
0.555         	5.338537e-07	1.466365e+00	5.608623e-06	3.338165e-06	2.270458e-06
0.56          	5.278642e-07	1.466125e+00	5.648492e-06	3.352110e-06	2.296382e-06
0.565         	5.218320e-07	1.465929e+00	5.649701e-06	3.346683e-06	2.303019e-06
0.57          	5.157700e-07	1.465776e+00	5.681313e-06	3.356426e-06	2.324886e-06
0.575         	5.096891e-07	1.465665e+00	5.705993e-06	3.362686e-06	2.343307e-06
0.58          	5.035997e-07	1.465593e+00	5.722222e-06	3.364711e-06	2.357512e-06
0.585         	4.975110e-07	1.465559e+00	5.753650e-06	3.374336e-06	2.379314e-06
0.59          	4.914310e-07	1.465564e+00	5.772096e-06	3.377479e-06	2.394617e-06
0.595         	4.853664e-07	1.465602e+00	5.796465e-06	3.383599e-06	2.412866e-06
0.6           	4.793261e-07	1.465678e+00	5.818993e-06	3.388823e-06	2.430170e-06
0.605         	4.733163e-07	1.465791e+00	5.840736e-06	3.393684e-06	2.447051e-06
0.61          	4.673416e-07	1.465931e+00	5.884299e-06	3.409491e-06	2.474808e-06
0.615         	4.614065e-07	1.466104e+00	5.936610e-06	3.429711e-06	2.506898e-06
0.62          	4.555130e-07	1.466307e+00	5.929458e-06	3.420242e-06	2.509216e-06
0.625         	4.496672e-07	1.466539e+00	6.033847e-06	3.466591e-06	2.567256e-06
0.63          	4.438724e-07	1.466799e+00	5.973999e-06	3.430872e-06	2.543127e-06
0.635         	4.381322e-07	1.467086e+00	6.025433e-06	3.450848e-06	2.574584e-06
0.64          	4.324476e-07	1.467399e+00	6.037151e-06	3.451023e-06	2.586128e-06
0.645         	4.268221e-07	1.467738e+00	6.064873e-06	3.459258e-06	2.605614e-06
0.65          	4.212574e-07	1.468101e+00	6.081955e-06	3.462235e-06	2.619720e-06
0.655         	4.157555e-07	1.468488e+00	6.099266e-06	3.465388e-06	2.633877e-06
0.66          	4.103182e-07	1.468898e+00	6.107987e-06	3.464312e-06	2.643675e-06
0.665         	4.049468e-07	1.469328e+00	6.140462e-06	3.475178e-06	2.665284e-06
0.67          	3.996425e-07	1.469779e+00	6.137746e-06	3.468516e-06	2.669231e-06
0.675         	3.944058e-07	1.470250e+00	6.155932e-06	3.472372e-06	2.683560e-06
0.68          	3.892375e-07	1.470742e+00	6.170072e-06	3.474274e-06	2.695799e-06
0.685         	3.841386e-07	1.471251e+00	6.181065e-06	3.474671e-06	2.706394e-06
0.69          	3.791096e-07	1.471778e+00	6.189406e-06	3.473813e-06	2.715594e-06
0.695         	3.741507e-07	1.472323e+00	6.196640e-06	3.472470e-06	2.724169e-06
