# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous porous)	moments(pressure viscous porous)
0.005         	((1.634735e+01 -5.633281e-08 -4.174891e-20) (3.609305e-01 -1.655868e-10 1.658527e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.865376e-19 2.217497e-18 -7.784572e-17) (-7.818630e-20 8.495605e-20 2.529607e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.01          	((-1.694566e-01 6.632570e-08 9.233350e-22) (2.519480e-01 2.571604e-09 -5.986893e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.949487e-21 -2.194935e-20 1.201011e-14) (-3.045095e-22 3.524349e-20 -4.836844e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.015         	((2.204890e-01 -1.994870e-08 -1.454340e-21) (1.931734e-01 2.804847e-09 1.517926e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.356117e-21 3.190047e-20 -1.587739e-15) (-1.816397e-21 2.767436e-20 3.473646e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.02          	((1.654553e-01 1.540964e-09 -1.019551e-21) (1.576501e-01 7.010987e-09 2.400699e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.783848e-21 2.364728e-20 1.477947e-14) (-1.610671e-21 2.252036e-20 7.115325e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.025         	((1.460998e-01 1.511523e-08 -8.223144e-22) (1.343779e-01 9.543897e-09 -3.379245e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.586729e-21 2.078101e-20 2.399179e-14) (-1.539933e-21 1.918647e-20 8.933839e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.03          	((1.293929e-01 2.950228e-08 -6.867843e-22) (1.183322e-01 1.094878e-08 -7.377862e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.409835e-21 1.835209e-20 2.895542e-14) (-1.467557e-21 1.688573e-20 9.370706e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.035         	((1.162525e-01 4.501325e-08 -5.932113e-22) (1.067417e-01 1.237041e-08 -1.014284e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.268433e-21 1.645591e-20 3.696546e-14) (-1.405308e-21 1.522426e-20 1.828010e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
0.04          	((1.058841e-01 5.403904e-08 -5.259926e-22) (9.800650e-02 1.310565e-08 -1.212396e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.156276e-21 1.496575e-20 4.325432e-14) (-1.353227e-21 1.397264e-20 2.204175e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
0.045         	((9.764815e-02 6.378145e-08 -4.762235e-22) (9.117384e-02 1.321170e-08 -1.357978e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.067112e-21 1.378526e-20 4.524743e-14) (-1.309955e-21 1.299415e-20 2.281136e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
0.05          	((9.102473e-02 7.112404e-08 -4.383945e-22) (8.565788e-02 1.292105e-08 -1.467250e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.954152e-22 1.283767e-20 4.495106e-14) (-1.273794e-21 1.220466e-20 2.189115e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
0.055         	((8.562251e-02 7.722291e-08 -4.089224e-22) (8.108684e-02 1.238979e-08 -1.550945e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.370250e-22 1.206568e-20 4.312045e-14) (-1.243273e-21 1.155074e-20 2.006731e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
