s ur utheta
2.089641959762478934e-02 -7.836864455890504844e-04 1.719337209522902102e-02
3.535109641864024599e-02 -1.934502731970157499e-03 2.393033195298385069e-02
5.022862309480516374e-02 -2.979606554563874951e-03 2.758183137103118604e-02
6.554314176174345918e-02 -3.522523141158910576e-03 2.836530568458588142e-02
8.130596612795396028e-02 -3.183748282292432619e-03 2.643992463009302990e-02
9.752982411549808439e-02 -1.598202746837836322e-03 2.190659234522795290e-02
1.142288578599995746e-01 1.576855193113811671e-03 1.481600131513391774e-02
1.314186237106445831e-01 6.665047098108159082e-03 5.176587323710477549e-03
1.491118495894943607e-01 1.397212594033026868e-02 -7.036157950078293297e-03
1.673226776321726506e-01 2.378642865194458347e-02 -2.186947631028347133e-02
1.860680784014280553e-01 3.637832458180557949e-02 -3.938279301079596756e-02
2.053621940328842210e-01 5.199715372309527545e-02 -5.963549087909982699e-02
2.252219950892895561e-01 7.086740833670476802e-02 -8.267517234370455603e-02
2.456630379198302128e-01 9.317977390831660989e-02 -1.085224354251460716e-01
2.667037073008172166e-01 1.190837115982702338e-01 -1.371576437681108485e-01
2.883595595814364421e-01 1.486766253656741088e-01 -1.685031924033636719e-01
3.106518079651235387e-01 1.819900521729690968e-01 -2.024030935749747961e-01
3.335960088010646030e-01 2.189814241919277593e-01 -2.386029302630732207e-01
3.572133752926952011e-01 2.595236036232928534e-01 -2.767207233844621306e-01
3.815222922163263863e-01 3.033840796152744712e-01 -3.162055094773764119e-01
4.065439727753936139e-01 3.504007125829466940e-01 -3.562648339721404267e-01
4.322982159597700269e-01 3.996131242382374160e-01 -3.955807771078430068e-01
4.588076491864537254e-01 4.518258182503739895e-01 -4.322584765586673372e-01
4.860934856588802755e-01 5.103980892311461570e-01 -4.502870831838339249e-01
4.999343937938257598e-01 5.178384082041471714e-01 -5.058499784145542577e-01
5.316410618622305906e-01 6.108492543024383048e-01 -5.845868841851011855e-01
5.945820506692074403e-01 7.345693236435926199e-01 -6.714559422033622438e-01
6.268883452880583684e-01 7.106628211891347080e-01 -6.570443281853211026e-01
6.608761398325709857e-01 8.079899885011448957e-01 -7.286096155597179269e-01
7.236332808764394109e-01 8.788410273158651087e-01 -7.799466285340330707e-01
7.571727697216797948e-01 8.619365790514288417e-01 -7.728942990518689049e-01
7.950454089220312381e-01 9.126886732963463977e-01 -8.117750603901580098e-01
8.560757952062422182e-01 9.446228883269370824e-01 -8.364093878544912597e-01
8.908951473254301812e-01 9.355851444245574244e-01 -8.368628554332662173e-01
9.343426163886564551e-01 9.552858464551958750e-01 -8.546670970767623610e-01
9.920142454622313810e-01 9.644534151626014129e-01 -8.642378580708003355e-01
1.028161544116487525e+00 9.606211085406046735e-01 -8.717046935480958769e-01
1.078945953141305258e+00 9.630748397820000362e-01 -8.776372487315728943e-01
1.131568839797208348e+00 9.608605348967144133e-01 -8.795404266331365850e-01
1.169087925606966394e+00 9.578532097563280390e-01 -8.912593073177412784e-01
1.229078864922833247e+00 9.524048105859295177e-01 -8.911639893236372734e-01
1.274842815801226381e+00 9.454371217854734555e-01 -8.893211276305087454e-01
1.313804399444605142e+00 9.409151032091073175e-01 -9.029082551416864888e-01
1.382266477999086751e+00 9.326522776282299976e-01 -8.997159508673416850e-01
1.421963452694899654e+00 9.264100521010001366e-01 -9.142030414632066337e-01
1.465082824211655144e+00 9.174964266519222145e-01 -9.095967852559978528e-01
1.531833704355665349e+00 9.087616567920776545e-01 -9.045146886114574514e-01
1.573043887563217114e+00 9.001427605204660454e-01 -9.182954643857308419e-01
1.629965983448734113e+00 8.915260987062830766e-01 -9.119921731168775247e-01
1.685445581500631285e+00 8.833016690236241697e-01 -9.055087817508563619e-01
1.728225541762416828e+00 8.728157704333744382e-01 -9.176634523447062541e-01
1.799629184526634784e+00 8.651201859123650584e-01 -9.101138146633336312e-01
1.843229388654597178e+00 8.530625303688939010e-01 -9.210683836281537973e-01
1.889148903024851611e+00 8.461596125495947085e-01 -9.125705157532101319e-01
1.960043428906614649e+00 8.396643417896494377e-01 -9.041882598369903601e-01
2.005312405038177648e+00 8.268959025097294413e-01 -9.126716320229197876e-01
2.070210665415478601e+00 8.213510539743771321e-01 -9.036217965945818609e-01
2.124841735329951575e+00 8.161352929349889873e-01 -8.947944169596053765e-01
2.171836052007609652e+00 8.033288820209194547e-01 -9.008408870455314466e-01
2.246294396066552679e+00 7.991334053561051087e-01 -8.916437612746723751e-01
2.294179667288505975e+00 7.860140996913606015e-01 -8.959525164458325142e-01
