"T","U:0","U:1","U:2","p","rho","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.6893,1.4598,1.2832,0,1.5476,1.2826,1,0,0.61,0.21,0
1.6893,1.4598,1.2832,0,1.5476,1.2826,1,0.00238,0.61238,0.21,0
1.6893,1.4598,1.2832,0,1.5476,1.2826,1,0.00476,0.61476,0.21,0
1.6893,1.4598,1.2832,0,1.5476,1.2826,1,0.00714,0.61714,0.21,0
1.6893,1.4598,1.2832,0,1.5476,1.2826,1,0.00952,0.61952,0.21,0
1.6893,1.4598,1.2832,0,1.5476,1.2826,1,0.0119,0.6219,0.21,0
1.6893,1.4598,1.2832,0,1.5476,1.2826,1,0.01428,0.62428,0.21,0
1.2062,1.9891,1.1468,0,0.48726,0.56555,1,0.01666,0.62666,0.21,0
1.2062,1.9891,1.1468,0,0.48726,0.56555,1,0.01904,0.62904,0.21,0
1.2062,1.9891,1.1468,0,0.48726,0.56555,1,0.02142,0.63142,0.21,0
1.2062,1.9891,1.1468,0,0.48726,0.56555,1,0.0238,0.6338,0.21,0
1.2062,1.9891,1.1468,0,0.48726,0.56555,1,0.02618,0.63618,0.21,0
1.2062,1.9891,1.1468,0,0.48726,0.56555,1,0.02856,0.63856,0.21,0
1.2062,1.9891,1.1468,0,0.48726,0.56555,1,0.03094,0.64094,0.21,0
1.2062,1.9891,1.1468,0,0.48726,0.56555,1,0.03332,0.64332,0.21,0
1.2062,1.9891,1.1468,0,0.48726,0.56555,1,0.0357,0.6457,0.21,0
1.2062,1.9891,1.1468,0,0.48726,0.56555,1,0.03808,0.64808,0.21,0
1.031,2.4391,1.3416,0,0.19816,0.26907,1,0.04046,0.65046,0.21,0
1.031,2.4391,1.3416,0,0.19816,0.26907,1,0.04284,0.65284,0.21,0
1.031,2.4391,1.3416,0,0.19816,0.26907,1,0.04522,0.65522,0.21,0
1.031,2.4391,1.3416,0,0.19816,0.26907,1,0.0476,0.6576,0.21,0
1.031,2.4391,1.3416,0,0.19816,0.26907,1,0.04998,0.65998,0.21,0
1.031,2.4391,1.3416,0,0.19816,0.26907,1,0.05236,0.66236,0.21,0
1.031,2.4391,1.3416,0,0.19816,0.26907,1,0.05474,0.66474,0.21,0
1.031,2.4391,1.3416,0,0.19816,0.26907,1,0.05712,0.66712,0.21,0
1.031,2.4391,1.3416,0,0.19816,0.26907,1,0.0595,0.6695,0.21,0
1.031,2.4391,1.3416,0,0.19816,0.26907,1,0.06188,0.67188,0.21,0
1.031,2.4391,1.3416,0,0.19816,0.26907,1,0.06426,0.67426,0.21,0
1.0565,2.4192,0.92142,0,0.14023,0.18583,1,0.06664,0.67664,0.21,0
1.0565,2.4192,0.92142,0,0.14023,0.18583,1,0.06902,0.67902,0.21,0
1.0565,2.4192,0.92142,0,0.14023,0.18583,1,0.0714,0.6814,0.21,0
1.0565,2.4192,0.92142,0,0.14023,0.18583,1,0.07378,0.68378,0.21,0
1.0565,2.4192,0.92142,0,0.14023,0.18583,1,0.07616,0.68616,0.21,0
1.0565,2.4192,0.92142,0,0.14023,0.18583,1,0.07854,0.68854,0.21,0
