"T","U:0","U:1","U:2","p","rho","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.1388,2.2589,1.5947,0,0.43816,0.53865,1,0,0.61,0.21,0
1.1388,2.2589,1.5947,0,0.43816,0.53865,1,0.00238,0.61238,0.21,0
1.0796,2.5238,0.82635,0,0.2608,0.3382,1,0.00476,0.61476,0.21,0
1.0796,2.5238,0.82635,0,0.2608,0.3382,1,0.00714,0.61714,0.21,0
1.0796,2.5238,0.82635,0,0.2608,0.3382,1,0.00952,0.61952,0.21,0
1.031,2.7292,0.042678,0,0.19472,0.26442,1,0.0119,0.6219,0.21,0
1.031,2.7292,0.042678,0,0.19472,0.26442,1,0.01428,0.62428,0.21,0
1.031,2.7292,0.042678,0,0.19472,0.26442,1,0.01666,0.62666,0.21,0
0.86949,3.012,-0.11365,0,0.10578,0.17033,1,0.01904,0.62904,0.21,0
0.86949,3.012,-0.11365,0,0.10578,0.17033,1,0.02142,0.63142,0.21,0
0.86949,3.012,-0.11365,0,0.10578,0.17033,1,0.0238,0.6338,0.21,0
0.72974,3.3828,-0.31696,0,0.053205,0.10207,1,0.02618,0.63618,0.21,0
0.72974,3.3828,-0.31696,0,0.053205,0.10207,1,0.02856,0.63856,0.21,0
0.72974,3.3828,-0.31696,0,0.053205,0.10207,1,0.03094,0.64094,0.21,0
0.74436,3.0595,-0.5766,0,0.048783,0.091752,1,0.03332,0.64332,0.21,0
0.74436,3.0595,-0.5766,0,0.048783,0.091752,1,0.0357,0.6457,0.21,0
0.74436,3.0595,-0.5766,0,0.048783,0.091752,1,0.03808,0.64808,0.21,0
0.81263,2.9538,-0.59648,0,0.056884,0.098001,1,0.04046,0.65046,0.21,0
0.81263,2.9538,-0.59648,0,0.056884,0.098001,1,0.04284,0.65284,0.21,0
0.85182,2.8818,-0.65088,0,0.070598,0.11603,1,0.04522,0.65522,0.21,0
0.85182,2.8818,-0.65088,0,0.070598,0.11603,1,0.0476,0.6576,0.21,0
0.85182,2.8818,-0.65088,0,0.070598,0.11603,1,0.04998,0.65998,0.21,0
0.84011,2.9962,-0.69921,0,0.07863,0.13103,1,0.05236,0.66236,0.21,0
0.84011,2.9962,-0.69921,0,0.07863,0.13103,1,0.05474,0.66474,0.21,0
0.84011,2.9962,-0.69921,0,0.07863,0.13103,1,0.05712,0.66712,0.21,0
0.82756,3.1353,-0.79734,0,0.088141,0.14911,1,0.0595,0.6695,0.21,0
0.82756,3.1353,-0.79734,0,0.088141,0.14911,1,0.06188,0.67188,0.21,0
0.82756,3.1353,-0.79734,0,0.088141,0.14911,1,0.06426,0.67426,0.21,0
0.8285,3.1352,-0.74961,0,0.089718,0.15161,1,0.06664,0.67664,0.21,0
0.8285,3.1352,-0.74961,0,0.089718,0.15161,1,0.06902,0.67902,0.21,0
0.8285,3.1352,-0.74961,0,0.089718,0.15161,1,0.0714,0.6814,0.21,0
0.86199,3.0883,-0.72239,0,0.09879,0.16045,1,0.07378,0.68378,0.21,0
0.86199,3.0883,-0.72239,0,0.09879,0.16045,1,0.07616,0.68616,0.21,0
0.86199,3.0883,-0.72239,0,0.09879,0.16045,1,0.07854,0.68854,0.21,0
0.93036,2.9968,-0.66409,0,0.1219,0.18343,1,0.08092,0.69092,0.21,0
0.93036,2.9968,-0.66409,0,0.1219,0.18343,1,0.0833,0.6933,0.21,0
0.93036,2.9968,-0.66409,0,0.1219,0.18343,1,0.08568,0.69568,0.21,0
0.99612,2.9383,-0.57078,0,0.15129,0.21263,1,0.08806,0.69806,0.21,0
0.99612,2.9383,-0.57078,0,0.15129,0.21263,1,0.09044,0.70044,0.21,0
0.99612,2.9383,-0.57078,0,0.15129,0.21263,1,0.09282,0.70282,0.21,0
1.0492,2.9241,-0.46141,0,0.18056,0.24093,1,0.0952,0.7052,0.21,0
1.0492,2.9241,-0.46141,0,0.18056,0.24093,1,0.09758,0.70758,0.21,0
1.0492,2.9241,-0.46141,0,0.18056,0.24093,1,0.09996,0.70996,0.21,0
1.0909,2.8989,-0.42771,0,0.21162,0.27158,1,0.10234,0.71234,0.21,0
1.0909,2.8989,-0.42771,0,0.21162,0.27158,1,0.10472,0.71472,0.21,0
1.0909,2.8989,-0.42771,0,0.21162,0.27158,1,0.1071,0.7171,0.21,0
1.1208,2.8507,-0.40095,0,0.24503,0.30608,1,0.10948,0.71948,0.21,0
1.1208,2.8507,-0.40095,0,0.24503,0.30608,1,0.11186,0.72186,0.21,0
1.1467,2.8236,-0.28162,0,0.28385,0.34656,1,0.11424,0.72424,0.21,0
1.1467,2.8236,-0.28162,0,0.28385,0.34656,1,0.11662,0.72662,0.21,0
1.1467,2.8236,-0.28162,0,0.28385,0.34656,1,0.119,0.729,0.21,0
1.1823,2.8181,-0.14346,0,0.33704,0.3991,1,0.12138,0.73138,0.21,0
1.1823,2.8181,-0.14346,0,0.33704,0.3991,1,0.12376,0.73376,0.21,0
1.1823,2.8181,-0.14346,0,0.33704,0.3991,1,0.12614,0.73614,0.21,0
1.2294,2.7971,-0.17139,0,0.39782,0.45301,1,0.12852,0.73852,0.21,0
1.2294,2.7971,-0.17139,0,0.39782,0.45301,1,0.1309,0.7409,0.21,0
1.2294,2.7971,-0.17139,0,0.39782,0.45301,1,0.13328,0.74328,0.21,0
1.2772,2.8067,-0.20601,0,0.45508,0.49883,1,0.13566,0.74566,0.21,0
1.2772,2.8067,-0.20601,0,0.45508,0.49883,1,0.13804,0.74804,0.21,0
1.2772,2.8067,-0.20601,0,0.45508,0.49883,1,0.14042,0.75042,0.21,0
1.3167,2.7654,-0.17237,0,0.48676,0.51757,1,0.1428,0.7528,0.21,0
1.3167,2.7654,-0.17237,0,0.48676,0.51757,1,0.14518,0.75518,0.21,0
1.3167,2.7654,-0.17237,0,0.48676,0.51757,1,0.14756,0.75756,0.21,0
1.3498,2.7457,-0.11817,0,0.50331,0.52205,1,0.14994,0.75994,0.21,0
1.3498,2.7457,-0.11817,0,0.50331,0.52205,1,0.15232,0.76232,0.21,0
1.3498,2.7457,-0.11817,0,0.50331,0.52205,1,0.1547,0.7647,0.21,0
1.3779,2.7216,-0.089301,0,0.52718,0.53564,1,0.15708,0.76708,0.21,0
1.3779,2.7216,-0.089301,0,0.52718,0.53564,1,0.15946,0.76946,0.21,0
1.3779,2.7216,-0.089301,0,0.52718,0.53564,1,0.16184,0.77184,0.21,0
1.3856,2.6723,-0.060088,0,0.55764,0.56345,1,0.16422,0.77422,0.21,0
1.3856,2.6723,-0.060088,0,0.55764,0.56345,1,0.1666,0.7766,0.21,0
1.3856,2.6723,-0.060088,0,0.55764,0.56345,1,0.16898,0.77898,0.21,0
1.386,2.634,-0.047439,0,0.59562,0.60164,1,0.17136,0.78136,0.21,0
1.386,2.634,-0.047439,0,0.59562,0.60164,1,0.17374,0.78374,0.21,0
1.386,2.634,-0.047439,0,0.59562,0.60164,1,0.17612,0.78612,0.21,0
1.3918,2.6403,-0.046728,0,0.63581,0.63955,1,0.1785,0.7885,0.21,0
1.3918,2.6403,-0.046728,0,0.63581,0.63955,1,0.18088,0.79088,0.21,0
1.4161,2.6669,-0.04806,0,0.6826,0.67484,1,0.18326,0.79326,0.21,0
1.4161,2.6669,-0.04806,0,0.6826,0.67484,1,0.18564,0.79564,0.21,0
1.4161,2.6669,-0.04806,0,0.6826,0.67484,1,0.18802,0.79802,0.21,0
1.4551,2.6707,-0.041757,0,0.73295,0.70518,1,0.1904,0.8004,0.21,0
1.4551,2.6707,-0.041757,0,0.73295,0.70518,1,0.19278,0.80278,0.21,0
1.4551,2.6707,-0.041757,0,0.73295,0.70518,1,0.19516,0.80516,0.21,0
