"T","U:0","U:1","U:2","p","rho","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
2.815,0.045653,0.041754,0,11.965,5.9505,1,0,0.59,0.01,0
2.815,0.045653,0.041754,0,11.965,5.9505,1,0.00018,0.59,0.01018,0
2.815,0.045653,0.041754,0,11.965,5.9505,1,0.00036,0.59,0.01036,0
2.815,0.045653,0.041754,0,11.965,5.9505,1,0.00054,0.59,0.01054,0
2.815,0.045653,0.041754,0,11.965,5.9505,1,0.00072,0.59,0.01072,0
2.815,0.045653,0.041754,0,11.965,5.9505,1,0.0009,0.59,0.0109,0
2.815,0.045653,0.041754,0,11.965,5.9505,1,0.00108,0.59,0.01108,0
2.815,0.045653,0.041754,0,11.965,5.9505,1,0.00126,0.59,0.01126,0
2.815,0.045653,0.041754,0,11.965,5.9505,1,0.00144,0.59,0.01144,0
2.815,0.045653,0.041754,0,11.965,5.9505,1,0.00162,0.59,0.01162,0
2.815,0.045653,0.041754,0,11.965,5.9505,1,0.0018,0.59,0.0118,0
2.815,0.045653,0.041754,0,11.965,5.9505,1,0.00198,0.59,0.01198,0
2.815,0.045653,0.041754,0,11.965,5.9505,1,0.00216,0.59,0.01216,0
2.815,0.045653,0.041754,0,11.965,5.9505,1,0.00234,0.59,0.01234,0
2.815,0.045653,0.041754,0,11.965,5.9505,1,0.00252,0.59,0.01252,0
2.815,0.045653,0.041754,0,11.965,5.9505,1,0.0027,0.59,0.0127,0
2.815,0.045653,0.041754,0,11.965,5.9505,1,0.00288,0.59,0.01288,0
2.815,0.045653,0.041754,0,11.965,5.9505,1,0.00306,0.59,0.01306,0
2.815,0.045653,0.041754,0,11.965,5.9505,1,0.00324,0.59,0.01324,0
2.815,0.045653,0.041754,0,11.965,5.9505,1,0.00342,0.59,0.01342,0
2.815,0.045653,0.041754,0,11.965,5.9505,1,0.0036,0.59,0.0136,0
2.815,0.045653,0.041754,0,11.965,5.9505,1,0.00378,0.59,0.01378,0
2.815,0.045653,0.041754,0,11.965,5.9505,1,0.00396,0.59,0.01396,0
2.815,0.045653,0.041754,0,11.965,5.9505,1,0.00414,0.59,0.01414,0
2.815,0.045653,0.041754,0,11.965,5.9505,1,0.00432,0.59,0.01432,0
2.815,0.045653,0.041754,0,11.965,5.9505,1,0.0045,0.59,0.0145,0
2.815,0.045653,0.041754,0,11.965,5.9505,1,0.00468,0.59,0.01468,0
2.815,0.045653,0.041754,0,11.965,5.9505,1,0.00486,0.59,0.01486,0
2.815,0.045653,0.041754,0,11.965,5.9505,1,0.00504,0.59,0.01504,0
2.815,0.045653,0.041754,0,11.965,5.9505,1,0.00522,0.59,0.01522,0
2.815,0.045653,0.041754,0,11.965,5.9505,1,0.0054,0.59,0.0154,0
2.815,0.045653,0.041754,0,11.965,5.9505,1,0.00558,0.59,0.01558,0
2.815,0.045653,0.041754,0,11.965,5.9505,1,0.00576,0.59,0.01576,0
2.815,0.045653,0.041754,0,11.965,5.9505,1,0.00594,0.59,0.01594,0
2.815,0.045653,0.041754,0,11.965,5.9505,1,0.00612,0.59,0.01612,0
2.815,0.045653,0.041754,0,11.965,5.9505,1,0.0063,0.59,0.0163,0
2.815,0.045653,0.041754,0,11.965,5.9505,1,0.00648,0.59,0.01648,0
