"T","U:0","U:1","U:2","p","rho","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1,3,1.1461e-16,0,1,1.4,1,0,0.01,0.99,0
1,3,4.148e-17,0,1,1.4,1,0.00298,0.01298,0.99,0
1,3,4.148e-17,0,1,1.4,1,0.00596,0.01596,0.99,0
1,3,4.148e-17,0,1,1.4,1,0.00894,0.01894,0.99,0
1,3,4.148e-17,0,1,1.4,1,0.01192,0.02192,0.99,0
1,3,4.148e-17,0,1,1.4,1,0.0149,0.0249,0.99,0
1,3,-1.9085e-16,0,1,1.4,1,0.01788,0.02788,0.99,0
1,3,-1.9085e-16,0,1,1.4,1,0.02086,0.03086,0.99,0
1,3,-1.9085e-16,0,1,1.4,1,0.02384,0.03384,0.99,0
1,3,-1.9085e-16,0,1,1.4,1,0.02682,0.03682,0.99,0
1,3,-4.336e-16,0,1,1.4,1,0.0298,0.0398,0.99,0
1,3,-4.336e-16,0,1,1.4,1,0.03278,0.04278,0.99,0
1,3,-4.336e-16,0,1,1.4,1,0.03576,0.04576,0.99,0
1,3,-4.336e-16,0,1,1.4,1,0.03874,0.04874,0.99,0
1,3,-5.1327e-16,0,1,1.4,1,0.04172,0.05172,0.99,0
1,3,-5.1327e-16,0,1,1.4,1,0.0447,0.0547,0.99,0
1,3,-5.1327e-16,0,1,1.4,1,0.04768,0.05768,0.99,0
1,3,-5.1327e-16,0,1,1.4,1,0.05066,0.06066,0.99,0
1,3,-1.4965e-16,0,1,1.4,1,0.05364,0.06364,0.99,0
1,3,-1.4965e-16,0,1,1.4,1,0.05662,0.06662,0.99,0
1,3,-1.4965e-16,0,1,1.4,1,0.0596,0.0696,0.99,0
1,3,-1.4965e-16,0,1,1.4,1,0.06258,0.07258,0.99,0
1,3,8.8005e-17,0,1,1.4,1,0.06556,0.07556,0.99,0
1,3,8.8005e-17,0,1,1.4,1,0.06854,0.07854,0.99,0
1,3,8.8005e-17,0,1,1.4,1,0.07152,0.08152,0.99,0
1,3,8.8005e-17,0,1,1.4,1,0.0745,0.0845,0.99,0
1,3,8.8005e-17,0,1,1.4,1,0.07748,0.08748,0.99,0
1,3,1.0235e-15,0,1,1.4,1,0.08046,0.09046,0.99,0
1,3,1.0235e-15,0,1,1.4,1,0.08344,0.09344,0.99,0
1,3,1.0235e-15,0,1,1.4,1,0.08642,0.09642,0.99,0
1,3,1.0235e-15,0,1,1.4,1,0.0894,0.0994,0.99,0
1,3,1.0161e-15,0,1,1.4,1,0.09238,0.10238,0.99,0
1,3,1.0161e-15,0,1,1.4,1,0.09536,0.10536,0.99,0
1,3,1.0161e-15,0,1,1.4,1,0.09834,0.10834,0.99,0
1,3,1.0161e-15,0,1,1.4,1,0.10132,0.11132,0.99,0
1,3,-5.6411e-17,0,1,1.4,1,0.1043,0.1143,0.99,0
1,3,-5.6411e-17,0,1,1.4,1,0.10728,0.11728,0.99,0
1,3,-5.6411e-17,0,1,1.4,1,0.11026,0.12026,0.99,0
1,3,-5.6411e-17,0,1,1.4,1,0.11324,0.12324,0.99,0
1,3,-4.4165e-16,0,1,1.4,1,0.11622,0.12622,0.99,0
1,3,-4.4165e-16,0,1,1.4,1,0.1192,0.1292,0.99,0
1,3,-4.4165e-16,0,1,1.4,1,0.12218,0.13218,0.99,0
1,3,-4.4165e-16,0,1,1.4,1,0.12516,0.13516,0.99,0
1,3,4.0658e-17,0,1,1.4,1,0.12814,0.13814,0.99,0
1,3,4.0658e-17,0,1,1.4,1,0.13112,0.14112,0.99,0
1,3,4.0658e-17,0,1,1.4,1,0.1341,0.1441,0.99,0
1,3,4.0658e-17,0,1,1.4,1,0.13708,0.14708,0.99,0
1,3,1.0582e-15,0,1,1.4,1,0.14006,0.15006,0.99,0
1,3,1.0582e-15,0,1,1.4,1,0.14304,0.15304,0.99,0
1,3,1.0582e-15,0,1,1.4,1,0.14602,0.15602,0.99,0
1,3,1.0582e-15,0,1,1.4,1,0.149,0.159,0.99,0
1,3,1.0582e-15,0,1,1.4,1,0.15198,0.16198,0.99,0
1,3,8.4796e-16,0,1,1.4,1,0.15496,0.16496,0.99,0
1,3,8.4796e-16,0,1,1.4,1,0.15794,0.16794,0.99,0
1,3,8.4796e-16,0,1,1.4,1,0.16092,0.17092,0.99,0
1,3,8.4796e-16,0,1,1.4,1,0.1639,0.1739,0.99,0
1,3,2.0412e-16,0,1,1.4,1,0.16688,0.17688,0.99,0
1,3,2.0412e-16,0,1,1.4,1,0.16986,0.17986,0.99,0
1,3,2.0412e-16,0,1,1.4,1,0.17284,0.18284,0.99,0
1,3,2.0412e-16,0,1,1.4,1,0.17582,0.18582,0.99,0
1,3,-1.6877e-16,0,1,1.4,1,0.1788,0.1888,0.99,0
1,3,-1.6877e-16,0,1,1.4,1,0.18178,0.19178,0.99,0
1,3,-1.6877e-16,0,1,1.4,1,0.18476,0.19476,0.99,0
1,3,-1.6877e-16,0,1,1.4,1,0.18774,0.19774,0.99,0
1,3,-4.3088e-16,0,1,1.4,1,0.19072,0.20072,0.99,0
1,3,-4.3088e-16,0,1,1.4,1,0.1937,0.2037,0.99,0
1,3,-4.3088e-16,0,1,1.4,1,0.19668,0.20668,0.99,0
1,3,-4.3088e-16,0,1,1.4,1,0.19966,0.20966,0.99,0
1,3,-8.7809e-16,0,1,1.4,1,0.20264,0.21264,0.99,0
1,3,-8.7809e-16,0,1,1.4,1,0.20562,0.21562,0.99,0
1,3,-8.7809e-16,0,1,1.4,1,0.2086,0.2186,0.99,0
1,3,-8.7809e-16,0,1,1.4,1,0.21158,0.22158,0.99,0
1,3,-8.7809e-16,0,1,1.4,1,0.21456,0.22456,0.99,0
1,3,-5.1926e-16,0,1,1.4,1,0.21754,0.22754,0.99,0
1,3,-5.1926e-16,0,1,1.4,1,0.22052,0.23052,0.99,0
1,3,-5.1926e-16,0,1,1.4,1,0.2235,0.2335,0.99,0
1,3,-5.1926e-16,0,1,1.4,1,0.22648,0.23648,0.99,0
1,3,-7.2478e-17,0,1,1.4,1,0.22946,0.23946,0.99,0
1,3,-7.2478e-17,0,1,1.4,1,0.23244,0.24244,0.99,0
1,3,-7.2478e-17,0,1,1.4,1,0.23542,0.24542,0.99,0
1,3,-7.2478e-17,0,1,1.4,1,0.2384,0.2484,0.99,0
1,3,5.6283e-16,0,1,1.4,1,0.24138,0.25138,0.99,0
1,3,5.6283e-16,0,1,1.4,1,0.24436,0.25436,0.99,0
1,3,5.6283e-16,0,1,1.4,1,0.24734,0.25734,0.99,0
1,3,5.6283e-16,0,1,1.4,1,0.25032,0.26032,0.99,0
1,3,8.9274e-16,0,1,1.4,1,0.2533,0.2633,0.99,0
1,3,8.9274e-16,0,1,1.4,1,0.25628,0.26628,0.99,0
1,3,8.9274e-16,0,1,1.4,1,0.25926,0.26926,0.99,0
1,3,8.9274e-16,0,1,1.4,1,0.26224,0.27224,0.99,0
1,3,8.0182e-16,0,1,1.4,1,0.26522,0.27522,0.99,0
1,3,8.0182e-16,0,1,1.4,1,0.2682,0.2782,0.99,0
1,3,8.0182e-16,0,1,1.4,1,0.27118,0.28118,0.99,0
1,3,8.0182e-16,0,1,1.4,1,0.27416,0.28416,0.99,0
1,3,8.0182e-16,0,1,1.4,1,0.27714,0.28714,0.99,0
1,3,5.7197e-16,0,1,1.4,1,0.28012,0.29012,0.99,0
1,3,5.7197e-16,0,1,1.4,1,0.2831,0.2931,0.99,0
1,3,5.7197e-16,0,1,1.4,1,0.28608,0.29608,0.99,0
1,3,5.7197e-16,0,1,1.4,1,0.28906,0.29906,0.99,0
1,3,1.8061e-16,0,1,1.4,1,0.29204,0.30204,0.99,0
1,3,1.8061e-16,0,1,1.4,1,0.29502,0.30502,0.99,0
1,3,1.8061e-16,0,1,1.4,1,0.298,0.308,0.99,0
1,3,1.8061e-16,0,1,1.4,1,0.30098,0.31098,0.99,0
1,3,-8.9239e-18,0,1,1.4,1,0.30396,0.31396,0.99,0
1,3,-8.9239e-18,0,1,1.4,1,0.30694,0.31694,0.99,0
1,3,-8.9239e-18,0,1,1.4,1,0.30992,0.31992,0.99,0
1,3,-8.9239e-18,0,1,1.4,1,0.3129,0.3229,0.99,0
1,3,1.5308e-16,0,1,1.4,1,0.31588,0.32588,0.99,0
1,3,1.5308e-16,0,1,1.4,1,0.31886,0.32886,0.99,0
1,3,1.5308e-16,0,1,1.4,1,0.32184,0.33184,0.99,0
1,3,1.5308e-16,0,1,1.4,1,0.32482,0.33482,0.99,0
1,3,8.6366e-17,0,1,1.4,1,0.3278,0.3378,0.99,0
1,3,8.6366e-17,0,1,1.4,1,0.33078,0.34078,0.99,0
1,3,8.6366e-17,0,1,1.4,1,0.33376,0.34376,0.99,0
1,3,8.6366e-17,0,1,1.4,1,0.33674,0.34674,0.99,0
1,3,8.6366e-17,0,1,1.4,1,0.33972,0.34972,0.99,0
1,3,-6.7556e-16,0,1,1.4,1,0.3427,0.3527,0.99,0
1,3,-6.7556e-16,0,1,1.4,1,0.34568,0.35568,0.99,0
1,3,-6.7556e-16,0,1,1.4,1,0.34866,0.35866,0.99,0
1,3,-6.7556e-16,0,1,1.4,1,0.35164,0.36164,0.99,0
1,3,-1.2181e-15,0,1,1.4,1,0.35462,0.36462,0.99,0
1,3,-1.2181e-15,0,1,1.4,1,0.3576,0.3676,0.99,0
1,3,-1.2181e-15,0,1,1.4,1,0.36058,0.37058,0.99,0
